psutil.Process(pid=431, name='com.apple.audio.', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=432, name='distnoted', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=434, name='biokitaggdd', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=436, name='colorsync.displa', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=438, name='com.apple.CodeSi', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=440, name='com.apple.audio.', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=449, name='colorsyncd', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=453, name='containermanager', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=454, name='diskmanagementd', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=456, name='appleeventsd', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=457, name='mobileactivation', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=458, name='PlugInLibrarySer', status='running', started='2021-08-04 08:06:15')
psutil.Process(pid=459, name='ViewBridgeAuxili', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=460, name='com.apple.geod', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=461, name='distnoted', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=462, name='bootinstalld', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=463, name='secinitd', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=466, name='cfprefsd', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=467, name='trustd', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=469, name='oahd', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=472, name='containermanager', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=474, name='com.apple.Accoun', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=475, name='fontworker', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=480, name='GSSCred', status='running', started='2021-08-04 08:06:16')
psutil.Process(pid=507, name='coreauthd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=508, name='distnoted', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=509, name='cfprefsd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=510, name='coreauthd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=512, name='securityd_servic', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=515, name='wifianalyticsd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=516, name='backupd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=517, name='corekdld', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=518, name='mds_stores', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=519, name='com.apple.Mobile', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=520, name='distnoted', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=521, name='softwareupdated', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=522, name='UserEventAgent', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=525, name='lsd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=526, name='com.apple.sbd', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=527, name='knowledge-agent', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=528, name='CommCenter', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=529, name='APFSUserAgent', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=530, name='ContextStoreAgent', status='running', started='2021-08-04 08:06:17')
psutil.Process(pid=531, name='lockoutagent', status='running', started='2021-08-04 08:06:17')
